ID,Gender,Marital status,Age,Education,Income,Occupation,Settlement size
100001797,female,married,33,high school,81807,unemployed/ unskilled,small city
100001798,female,single,50,high school,93148,unemployed/ unskilled,small city
100001799,female,married,32,high school,108032,skilled employee / official,small city
100001800,male,married,31,high school,89335,unemployed/ unskilled,small city
100001801,male,single,52,high school,95639,unemployed/ unskilled,small city
100001802,male,single,53,high school,124902,skilled employee / official,small city
100001803,female,married,34,high school,87801,unemployed/ unskilled,small city
100001804,female,married,22,high school,92538,skilled employee / official,small city
100001805,male,married,33,high school,83687,unemployed/ unskilled,small city
100001806,male,single,32,other / unknown,128310,skilled employee / official,small city
100001807,female,single,45,high school,104754,unemployed/ unskilled,small city
100001808,male,married,25,high school,68222,unemployed/ unskilled,small city
100001809,female,married,41,high school,97006,unemployed/ unskilled,small city
100001810,female,single,36,high school,107372,unemployed/ unskilled,small city
100001811,female,married,27,high school,110511,skilled employee / official,small city
100001812,male,single,40,high school,72193,unemployed/ unskilled,small city
100001813,female,single,37,high school,95972,unemployed/ unskilled,small city
100001814,male,single,35,high school,105556,unemployed/ unskilled,small city
100001815,male,single,34,high school,88701,unemployed/ unskilled,small city
100001816,female,single,28,other / unknown,117710,skilled employee / official,small city
100001817,female,single,44,high school,76057,unemployed/ unskilled,small city
100001818,male,married,27,high school,100392,skilled employee / official,small city
100001819,female,single,50,high school,113308,skilled employee / official,small city
100001820,female,married,18,high school,100924,skilled employee / official,small city
100001821,female,single,25,other / unknown,72188,unemployed/ unskilled,small city
100001822,female,married,40,high school,70431,unemployed/ unskilled,small city
100001823,male,married,28,high school,110103,skilled employee / official,small city
100001824,female,married,23,high school,60825,unemployed/ unskilled,small city
100001825,female,married,35,high school,75100,unemployed/ unskilled,small city
100001826,female,married,28,high school,129327,skilled employee / official,small city
100001827,female,single,23,other / unknown,95541,skilled employee / official,small city
100001828,male,married,34,high school,112777,skilled employee / official,small city
100001829,female,married,29,high school,51496,unemployed/ unskilled,small city
100001830,female,single,35,high school,102781,skilled employee / official,small city
100001831,female,married,32,high school,87494,unemployed/ unskilled,small city
100001832,female,single,46,high school,72728,unemployed/ unskilled,small city
100001833,female,married,27,high school,114775,skilled employee / official,small city
100001834,female,married,25,high school,124359,skilled employee / official,small city
100001835,female,married,27,high school,101620,unemployed/ unskilled,small city
100001836,female,married,24,high school,87964,unemployed/ unskilled,small city
100001837,female,single,33,other / unknown,69523,unemployed/ unskilled,small city
100001838,female,married,24,high school,109486,skilled employee / official,small city
100001839,female,single,28,other / unknown,77206,unemployed/ unskilled,small city
100001840,female,single,35,high school,53608,unemployed/ unskilled,small city
100001841,female,married,30,high school,118677,skilled employee / official,small city
100001842,male,single,43,high school,116512,skilled employee / official,small city
100001843,male,married,21,high school,114756,unemployed/ unskilled,small city
100001844,female,married,24,high school,65852,unemployed/ unskilled,small city
100001845,male,single,34,high school,75626,unemployed/ unskilled,small city
100001846,female,married,26,high school,127455,skilled employee / official,small city
100001847,male,single,37,high school,107073,skilled employee / official,small city
100001848,female,married,32,high school,82196,unemployed/ unskilled,small city
100001849,female,married,33,high school,106741,unemployed/ unskilled,small city
100001850,male,married,28,high school,94518,skilled employee / official,small city
100001851,female,married,30,high school,114430,skilled employee / official,small city
100001852,female,married,26,high school,57165,unemployed/ unskilled,small city
100001853,female,single,25,other / unknown,109610,unemployed/ unskilled,small city
100001854,male,single,33,other / unknown,113619,skilled employee / official,small city
100001855,female,married,30,high school,93854,skilled employee / official,small city
100001856,female,married,26,high school,129022,skilled employee / official,small city
100001857,male,married,23,high school,66804,unemployed/ unskilled,small city
100001858,male,married,25,high school,62689,unemployed/ unskilled,small city
100001859,female,single,40,high school,67619,unemployed/ unskilled,small city
100001860,male,single,46,high school,113495,unemployed/ unskilled,small city
100001861,female,married,43,high school,48632,unemployed/ unskilled,small city
100001862,female,married,22,high school,107394,unemployed/ unskilled,small city
100001863,male,married,39,high school,72385,unemployed/ unskilled,small city
100001864,female,married,27,high school,115934,unemployed/ unskilled,small city
100001865,male,single,40,high school,93183,unemployed/ unskilled,small city
100001866,male,single,24,other / unknown,63506,unemployed/ unskilled,small city
100001867,female,single,52,high school,113619,skilled employee / official,small city
100001868,female,married,30,high school,121399,unemployed/ unskilled,small city
100001869,female,married,34,high school,78281,unemployed/ unskilled,small city
100001870,female,single,38,high school,103926,skilled employee / official,small city
100001871,male,married,39,high school,89097,unemployed/ unskilled,small city
100001872,female,single,29,other / unknown,80852,unemployed/ unskilled,small city
100001873,male,married,25,high school,65207,unemployed/ unskilled,small city
100001874,female,married,35,high school,93495,unemployed/ unskilled,small city
100001875,male,single,53,high school,121970,unemployed/ unskilled,small city
100001876,male,single,26,other / unknown,62027,unemployed/ unskilled,small city
100001877,male,single,33,high school,88602,unemployed/ unskilled,small city
100001878,male,married,29,high school,89914,unemployed/ unskilled,small city
100001879,male,single,39,high school,83342,unemployed/ unskilled,small city
100001880,male,single,29,other / unknown,103439,skilled employee / official,small city
100001881,male,single,26,other / unknown,115451,skilled employee / official,small city
100001882,male,single,24,other / unknown,68250,unemployed/ unskilled,small city
100001883,female,married,21,high school,113630,unemployed/ unskilled,small city
100001884,female,married,26,high school,125880,skilled employee / official,small city
100001885,female,married,20,high school,91177,unemployed/ unskilled,small city
100001886,female,single,35,high school,73266,unemployed/ unskilled,small city
100001887,female,married,24,high school,69021,unemployed/ unskilled,small city
100001888,female,single,40,high school,122593,skilled employee / official,small city
100001889,female,single,44,high school,122180,skilled employee / official,small city
100001890,male,single,29,other / unknown,75160,unemployed/ unskilled,small city
100001891,female,married,39,high school,81973,unemployed/ unskilled,small city
100001892,female,married,35,high school,92194,unemployed/ unskilled,small city
100001893,male,single,42,high school,107380,unemployed/ unskilled,small city
100001894,female,single,32,high school,98023,skilled employee / official,small city
100001895,male,single,48,high school,94868,unemployed/ unskilled,small city
100001896,male,single,26,other / unknown,83442,unemployed/ unskilled,small city
100001897,female,married,26,high school,109887,skilled employee / official,small city
100001898,male,single,42,high school,98876,unemployed/ unskilled,small city
100001899,male,single,48,high school,94962,unemployed/ unskilled,small city
100001900,female,married,42,high school,130740,skilled employee / official,small city
100001901,female,married,27,high school,94095,unemployed/ unskilled,small city
100001902,female,married,37,high school,95071,unemployed/ unskilled,small city
100001903,male,single,33,other / unknown,117308,skilled employee / official,small city
100001904,male,single,33,high school,112093,skilled employee / official,small city
100001905,female,single,37,high school,123893,skilled employee / official,small city
100001906,female,married,31,high school,80189,unemployed/ unskilled,small city
100001907,male,single,39,high school,124089,skilled employee / official,small city
100001908,female,single,40,high school,82673,unemployed/ unskilled,small city
100001909,female,married,28,high school,88858,unemployed/ unskilled,small city
100001910,female,married,26,high school,80540,unemployed/ unskilled,small city
100001911,female,married,24,high school,84228,unemployed/ unskilled,small city
100001912,male,single,40,high school,103963,skilled employee / official,small city
100001913,female,married,29,high school,102397,skilled employee / official,small city
100001914,male,single,43,high school,111563,skilled employee / official,small city
100001915,male,single,23,other / unknown,88260,unemployed/ unskilled,small city
100001916,female,single,34,high school,114767,skilled employee / official,small city
100001917,female,married,42,high school,113275,skilled employee / official,small city
100001918,female,married,33,high school,104755,skilled employee / official,small city
100001919,female,married,32,high school,120525,skilled employee / official,small city
100001920,female,married,26,high school,96082,unemployed/ unskilled,small city
100001921,female,married,23,high school,87227,unemployed/ unskilled,small city
100001922,female,married,26,high school,69333,unemployed/ unskilled,small city
100001923,female,married,27,high school,87777,unemployed/ unskilled,small city
100001924,male,single,24,other / unknown,70978,unemployed/ unskilled,small city
100001925,male,single,27,other / unknown,104196,unemployed/ unskilled,small city
100001926,female,married,26,high school,97551,skilled employee / official,small city
100001927,female,single,42,high school,78979,unemployed/ unskilled,small city
100001928,female,single,37,high school,82500,unemployed/ unskilled,small city
100001929,female,married,26,high school,86306,unemployed/ unskilled,small city
100001930,female,married,24,high school,78762,unemployed/ unskilled,small city
100001931,female,single,39,high school,125543,skilled employee / official,small city
100001932,male,single,26,other / unknown,70336,unemployed/ unskilled,small city
100001933,male,married,35,high school,112975,skilled employee / official,small city
100001934,male,single,38,high school,96681,unemployed/ unskilled,small city
100001935,female,married,24,high school,98922,skilled employee / official,small city
100001936,female,single,26,other / unknown,109250,skilled employee / official,small city
100001937,male,single,25,other / unknown,108960,unemployed/ unskilled,small city
100001938,male,single,40,high school,71302,unemployed/ unskilled,small city
100001939,female,single,48,high school,107757,unemployed/ unskilled,small city
100001940,female,married,22,high school,111600,skilled employee / official,small city
100001941,female,married,25,high school,102974,skilled employee / official,small city
100001942,male,married,24,high school,63442,unemployed/ unskilled,small city
100001943,male,single,39,high school,118913,unemployed/ unskilled,small city
100001944,male,single,39,high school,80987,unemployed/ unskilled,small city
100001945,female,married,21,high school,68790,unemployed/ unskilled,small city
100001946,female,single,27,other / unknown,86462,unemployed/ unskilled,small city
100001947,male,single,40,high school,76881,unemployed/ unskilled,small city
100001948,female,married,37,high school,107409,skilled employee / official,small city
100001949,female,single,42,high school,69114,unemployed/ unskilled,small city
100001950,female,married,31,high school,119167,skilled employee / official,small city
100001951,female,married,31,high school,102018,skilled employee / official,small city
100001952,male,single,30,other / unknown,97680,skilled employee / official,small city
100001953,female,single,23,other / unknown,65062,unemployed/ unskilled,small city
100001954,male,single,33,other / unknown,118144,skilled employee / official,small city
100001955,female,married,37,high school,124548,skilled employee / official,small city
100001956,female,single,29,other / unknown,85637,unemployed/ unskilled,small city
100001957,female,single,31,high school,113108,skilled employee / official,small city
100001958,male,single,39,high school,93554,unemployed/ unskilled,small city
100001959,female,married,33,high school,42516,unemployed/ unskilled,small city
100001960,male,married,26,high school,72429,unemployed/ unskilled,small city
100001961,female,married,27,high school,110154,skilled employee / official,small city
100001962,female,single,20,other / unknown,60965,unemployed/ unskilled,small city
100001963,female,married,27,high school,100618,unemployed/ unskilled,small city
100001964,female,married,26,high school,71021,unemployed/ unskilled,small city
100001965,male,single,40,high school,94189,unemployed/ unskilled,small city
100001966,male,single,24,other / unknown,44742,unemployed/ unskilled,small city
100001967,female,married,22,high school,103201,skilled employee / official,small city
100001968,female,married,24,high school,62335,unemployed/ unskilled,small city
100001969,female,single,27,other / unknown,103787,skilled employee / official,small city
100001970,male,single,35,high school,99401,skilled employee / official,small city
100001971,male,married,27,high school,105197,skilled employee / official,small city
100001972,female,married,25,high school,115566,unemployed/ unskilled,small city
100001973,female,married,34,high school,125843,unemployed/ unskilled,small city
100001974,female,single,24,other / unknown,67936,unemployed/ unskilled,small city
100001975,female,single,34,high school,120863,skilled employee / official,small city
100001976,male,single,42,high school,77317,unemployed/ unskilled,small city
100001977,female,single,38,high school,84653,unemployed/ unskilled,small city
100001978,male,single,42,high school,81606,unemployed/ unskilled,small city
100001979,female,single,35,high school,113380,unemployed/ unskilled,small city
100001980,female,married,27,high school,100644,skilled employee / official,small city
100001981,male,single,25,other / unknown,64037,unemployed/ unskilled,small city
100001982,female,married,23,high school,101350,skilled employee / official,small city
100001983,female,married,34,high school,126334,skilled employee / official,small city
100001984,female,married,28,high school,130877,skilled employee / official,small city
100001985,male,single,21,other / unknown,103470,skilled employee / official,small city
100001986,female,single,32,other / unknown,114588,skilled employee / official,small city
100001987,female,married,21,high school,120682,skilled employee / official,small city
100001988,male,single,25,other / unknown,66628,unemployed/ unskilled,small city
100001989,female,married,35,high school,124447,unemployed/ unskilled,small city
100001990,female,married,25,high school,106567,unemployed/ unskilled,small city
100001991,female,married,31,high school,78758,unemployed/ unskilled,small city
100001992,male,single,54,high school,128537,skilled employee / official,small city
100001993,female,single,51,high school,101074,unemployed/ unskilled,small city
100001994,female,single,38,high school,87670,unemployed/ unskilled,small city
100001995,male,single,45,high school,113414,skilled employee / official,small city
100001996,female,single,47,high school,123525,unemployed/ unskilled,small city
100001997,female,married,27,high school,117744,skilled employee / official,small city
100001998,male,single,31,other / unknown,86400,unemployed/ unskilled,small city
100001999,female,married,24,high school,97968,unemployed/ unskilled,small city
100002000,male,single,25,other / unknown,68416,unemployed/ unskilled,small city
